A. MOVIE PROMOS
B. PURCHASE BONUSES
C. THEME DECKS & BOX SETS
D. LEAGUE & TOURNAMENTS
E. PROMO PACKS
F. EVENT PARTICIPATION
G. MISCELLANEOUS

Below is the ordered list of all promo cards and their source category.
1. Base Set
# 	Name KR 	Name ENG 	Source
58/102 	피카츄 	Pikachu 	Pikachu World Collection 2000 (Gold tail stamp)
164 	피카츄 	Pikachu 	Purchase Bonus
165 	투구뿌논 	Vikavolt 	Purchase Bonus
166 	뮤 	Mew 	Purchase Bonus
167 	차곡차곡 	Stakataka 	Purchase Bonus
168 	지라치 	Jirachi 	Purchase Bonus
169 	멜탄 	Meltan 	Purchase Bonus
170 	이스케이프 보드 	Escape Board 	Purchase Bonus
171 	민화 	Erika 	League & Tournaments
172 	뮤츠 GX 	Mewtwo GX 	League & Tournaments
173 	뮤츠 GX 	Mewtwo GX 	League & Tournaments
174 	야느와르몽 	Dusknoir 	Purchase Bonus
175 	삐삐 	Clefairy 	Purchase Bonus
176 	두르쿤 	Swadloon 	Promo Pack 9
177 	배쓰나이 	Basculin 	Promo Pack 9
178 	아라리 	Exeggcute 	Promo Pack 9
179 	늑골라 GX 	Carracosta 	Promo Pack 9
180 	오지기게 	Crabrawler 	Promo Pack 9
181 	푸푸린 	Igglybuff 	Promo Pack 9
182 	드래곤Z 드래곤크루 	Dragonium Z: Dragon Claw 	Promo Pack 9
183 	멜탄 	Meltan 	Theme decks & box sets
184 	멜메탈 GX 	Melmetal GX 	Theme decks & box sets
185 	리피아 	Leafeon 	Promo Pack 10
186 	활화르바 	Larvesta 	Promo Pack 10
187 	알로라 고지 GX 	Alolan Sandslash GX 	Promo Pack 10
188 	글레이시아 	Glaceon 	Promo Pack 10
189 	골비람 	Golett 	Promo Pack 10
190 	에이팜 	Aipom 	Promo Pack 10
191 	무지개꽃 	Rainbow Flower 	Promo Pack 10
192 	포켓기어 3.0 	Pokegear 3.0 	League & Tournaments
193 	리자몽 GX 	Charizard GX 	Theme decks & box sets
194 	갸라도스 GX 	Gyarados GX 	Theme decks & box sets
195 	라이츄 GX 	Raichu GX 	Theme decks & box sets
196 	아머드 뮤츠 	Armored Mewtwo 	Movie Promos
7. Sword & Shield (S-P) Work in Progress
# / S-P 	Name KR 	Name ENG 	Source
001 	빙큐보 V 	Eiscue V 	Sword & Shield Promo Pack 1
002 	꼬모카 	Sobble 	Sword & Shield Promo Pack 1
003 	에이스번 	Scorbunny 	Sword & Shield Promo Pack 1
004 	만타인 	Mantine 	Sword & Shield Promo Pack 1
005 	피카츄 	Pikachu 	Sword & Shield Promo Pack 1
006 	가라르 포니타 	Galarian Ponyta 	Sword & Shield Promo Pack 1
007 	야부엉 	Hoothoot 	Sword & Shield Promo Pack 1
008 	호브 	Hoppip 	Sword & Shield Expansion Box “Sword & Shield” Purchase Bonus
021 	나옹 V 	Meowth V 	Starter Set V Card Battle Event
022 	나옹 VMAX 	Meowth VMAX 	Korean League Season 2 Participation Reward (Event Cancelled due to COVID-19)
023 	대왕끼리동 V 	Copperajah V 	“Rebellion Crash” 2BOX Purchase Bonus
024 	레쿠쟈 	Rayquaza 	Pokémon Science Lab Vol. 4 Purchase Bonus
025 	모르페코 	Morpeko 	Pixel Pokémon Vol. 1 Bonus
026 	우르 	Wooloo 	Pixel Pokémon Vol. 2 Bonus
027 	부스터 	Flareon 	Sword & Shield Promo Pack 2
028 	럭시오 	Luxio 	Sword & Shield Promo Pack 2
029 	포트데스 V 		Sword & Shield Promo Pack 2
030 	몸지브림 		Sword & Shield Promo Pack 2
031 	탄동 		Sword & Shield Promo Pack 2
032 	깨봉이 		Sword & Shield Promo Pack 2
033 	이브이 	Eevee 	Sword & Shield Promo Pack 2
034 	역경글러브 		Sword & Shield Promo Pack 2
035 	스트린더 V 		
036 	마리 	Marnie 	Purchase Bonus (15,000 KRW)
037 	옐단의 조무래기 	Team Yell Grunt 	Purchase Bonus (15,000 KRW)
038 	구즈마&할라 	Guzma & Hala 	Purchase Bonus (15,000 KRW)
039 	난천&카틀레야 	Cynthia & Caitlin 	Purchase Bonus (15,000 KRW)
040 	마오&수련 		Purchase Bonus (30,000 KRW)
041 	기본 풀 에너지 	Basic Leaf Energy 	Purchase Bonus (30,000 KRW)
042 	기본 불꽃 에너지 	Basic Fire Energy 	Purchase Bonus (30,000 KRW)
043 	기본 물 에너지 	Basic Water Energy 	Purchase Bonus (30,000 KRW)
044 	기본 번개 에너지 	Basic Lightning Energy 	Purchase Bonus (30,000 KRW)
045 	기본 초 에너지 	Basic Psychic Energy 	Purchase Bonus (30,000 KRW)
046 	기본 격투 에너지 	Basic Fighting Energy 	Purchase Bonus (30,000 KRW)
047 	기본 악 에너지 	Basic Dark Energy 	Purchase Bonus (30,000 KRW)
048 	기본 강철 에너지 	Basic Metal Energy 	Purchase Bonus (30,000 KRW)
049 	기본 페어리 에너지 	Basic Fairy Energy 	Purchase Bonus (30,000 KRW)
050 	포켓몬센터 직원 	Pokémon Center Lady 	Infinity Zone
051 	무한다이노 V 		Infinity Zone
052 	무한다이노 VMAX 		Infinity Zone
053 	후파 	Hoopa 	Infinity Zone
054 	가라르 가로막구리 		Infinity Zone
055 	기본 악 에너지 	Basic Dark Energy 	Infinity Zone
056 	빼미스로우 		Sword & Shield Promo Pack 3
057 	샤미드 	Shaymin 	Sword & Shield Promo Pack 3
058 	톱치 		Sword & Shield Promo Pack 3
059 	페이검 		Sword & Shield Promo Pack 3
060 	끼리동 		Sword & Shield Promo Pack 3
061 	이브이 	Eevee 	Sword & Shield Promo Pack 3
062 	요씽리스 V 		Sword & Shield Promo Pack 3
063 	모젤란 		Sword & Shield Promo Pack 3
064 	이올브 V 		
065 	브리무음 V 		Sword & Shield Promo Pack 4
066 	파이리 		Sword & Shield Promo Pack 4
067 	찌로꼬치 		Sword & Shield Promo Pack 4
068 	쥬피썬더 	Jolteon 	Sword & Shield Promo Pack 4
069 	코코리 		Sword & Shield Promo Pack 4
070 	악비르 		Sword & Shield Promo Pack 4
071 	이브이 	Eevee 	Sword & Shield Promo Pack 4
072 	소도와 실디 		Sword & Shield Promo Pack 4
073 	피카츄 V 	Pikachu V 	
074 	피카츄 VMAX 	Pikachu VMAX 	
075 	피카츄 	Pikachu 	
076 	무우마직 	Mismagius 	Official Card Shop Purchase Bonus
077 	초련&담죽 		Official Card Shop Purchase Bonus
078 	크로뱃 V 	Crobat V 	Sword & Shield Collection Set “Shiny Star V”
079 	하이드 악 에너지 		Sword & Shield Collection Set “Shiny Star V”
080 	기본 악 에너지 	Basic Dark Energy 	Sword & Shield Collection Set “Shiny Star V”
081 	루기아 	Lugia 	Starter Set VMAX Purchase Bonus
082 	반디나 	Honey 	“Single Strike Master” & “Double Strike Master” 2BOX Purchase Bonus
083 	체리버 		Sword & Shield Promo Pack 5
084 	뚜꾸리 	Tepig 	Sword & Shield Promo Pack 5
085 	가라르 마임맨 		Sword & Shield Promo Pack 5
